
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.01
C3H52-1A3OOH                  0.000000e+00        5.397099e-40
C3H6OH                        0.000000e+00        2.377732e-38
HOC3H6O2                      0.000000e+00        7.725279e-40
CH3CHCO                       0.000000e+00        1.575252e-26
AC3H5OOH                      0.000000e+00        5.029935e-38
C2H3OOH                       0.000000e+00        2.280727e-33
CC3H4                         0.000000e+00        5.754135e-33
H2CC                          0.000000e+00        1.037893e-23
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
H                             0.000000e+00        5.955630e-07
H2                            0.000000e+00        3.718024e-06
O                             0.000000e+00        1.309880e-04
O2                            9.694501e-01        9.075948e-01
OH                            0.000000e+00        1.288528e-03
OH*                           0.000000e+00        2.866237e-13
H2O                           0.000000e+00        6.041112e-02
N2                            0.000000e+00        0.000000e+00
HO2                           0.000000e+00        3.071152e-05
H2O2                          0.000000e+00        1.453126e-06
AR                            0.000000e+00        0.000000e+00
CO                            0.000000e+00        9.263918e-06
CO2                           0.000000e+00        3.052884e-02
CH2O                          0.000000e+00        1.390807e-15
HCO                           0.000000e+00        1.633552e-13
HO2CHO                        0.000000e+00        6.607400e-15
HCOH                          0.000000e+00        4.357929e-19
O2CHO                         0.000000e+00        1.380127e-13
HOCHO                         0.000000e+00        4.429068e-13
OCHO                          0.000000e+00        3.742811e-12
HOCH2O2H                      0.000000e+00        4.516178e-25
HOCH2O2                       0.000000e+00        7.397441e-23
OCH2O2H                       0.000000e+00        2.265027e-24
HOCH2O                        0.000000e+00        1.568420e-21
CH3OH                         0.000000e+00        1.535799e-21
CH2OH                         0.000000e+00        1.110435e-21
CH3O                          0.000000e+00        4.242761e-23
CH3O2H                        0.000000e+00        8.770505e-27
CH3O2                         0.000000e+00        3.254002e-23
CH4                           3.054990e-02        1.016363e-21
CH3                           0.000000e+00        1.850518e-21
CH2                           0.000000e+00        3.510621e-24
CH2(S)                        0.000000e+00        6.626613e-26
C                             0.000000e+00        1.032059e-23
CH                            0.000000e+00        2.702333e-25
CH*                           0.000000e+00        2.068129e-27
C2H6                          0.000000e+00        1.425690e-29
C2H5                          0.000000e+00        1.419722e-32
C2H4                          0.000000e+00        5.013276e-25
C2H3                          0.000000e+00        1.792177e-27
C2H2                          0.000000e+00        8.623914e-19
C2H                           0.000000e+00        5.118105e-24
CH3CHO                        0.000000e+00        1.559563e-26
C2H3OH                        0.000000e+00        5.034700e-26
C2H2OH                        0.000000e+00        1.107707e-23
CH3CO                         0.000000e+00        4.516196e-27
CH2CHO                        0.000000e+00        1.620335e-27
O2CH2CHO                      0.000000e+00        4.125577e-31
HO2CH2CO                      0.000000e+00        0.000000e+00
CH2CO                         0.000000e+00        1.753361e-19
HCCO                          0.000000e+00        4.020949e-23
HCCOH                         0.000000e+00        2.069954e-16
CH3CO3H                       0.000000e+00        1.394848e-33
